;VISITATORI PER PROVENIENZA GEOGRAFICA – GENNAIO 2025;;;;;;;;;;;;;;;
Musei;Bologna;Resto d’Italia;Resto d’Europa;Nord America;Centro America;Sud America;Asia;Africa;Oceania;Totale;%;;Continente non specificato;Totale interviste;;
Museo del Patrimonio Industriale;323;208;52;8;0;0;5;0;0;596;2,1%;;0;596;;
Museo di Ustica;167;1.024;101;10;0;5;2;0;0;1.309;4,6%;;0;1.309;;
Casa Morandi;88;145;176;69;1;4;38;0;22;543;1,9%;;0;543;;
Mambo Collezione;1.683;199;573;310;1;16;69;4;30;2.885;10,2%;;0;2.885;;
MAMbo “Carbotta”;634;72;161;111;0;5;38;0;19;1.040;3,7%;;0;1.040;;
;;;;;;;;;;;;;;;;
Totale Istituzione;10.082;7.808;6.719;2.188;111;285;590;28;379;28.190;100,0%;;21;28.211;;
;35,76%;27,70%;23,83%;7,76%;0,39%;1,01%;2,09%;0,10%;1,34%;100,00%;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;VISITATORI PER PROVENIENZA GEOGRAFICA – MAGGIO 2024;;;;;;;;;;;;;;;
Musei;Bologna;Resto d’Italia;Resto d’Europa;Nord America;Centro America;Sud America;Asia;Africa;Oceania;Totale;%;;Continente non specificato;Totale interviste;;
Museo Musica;1.674;348;472;252;38;11;25;0;25;2.845;11,0%;;1.268;4.113;;
Museo Archeologico;562;632;1.588;440;5;46;160;5;99;3.537;13,7%;;0;3.537;;
Collezioni Comunali;1.353;1.274;1.520;396;20;21;62;2;100;4.748;18,4%;;0;4.748;;
Museo Medievale;1.170;1.146;938;466;15;41;61;1;182;4.020;15,6%;;0;4.020;;
Museo Bargellini;1.001;668;1.038;444;24;80;84;9;82;3.430;13,3%;;0;3.430;;
Museo della Tappezzeria;CHIUSO;;;;;;;;;;;;;;;
Museo del Risorgimento;383;94;97;17;0;0;6;0;0;597;2,3%;;0;597;;
Museo del Patrimonio Industriale;74;64;72;14;0;3;1;0;7;235;0,9%;;0;235;;
Museo di Ustica;155;595;153;6;3;7;29;2;14;964;3,7%;;0;964;;
Casa Morandi;127;115;153;59;2;4;38;0;19;517;2,0%;;0;517;;
Mambo Collezione;2.466;548;849;425;2;23;127;0;86;4.526;17,5%;;0;4.526;;
MAMbo “Carbotta”;179;20;69;79;2;2;7;0;14;372;1,4%;;0;372;;
;;;;;;;;;;;;;;;;
Totale Istituzione;9.144;5.504;6.949;2.598;111;238;600;19;628;25.791;100,0%;;1.268;27.059;;
;35,45%;21,34%;26,94%;10,07%;0,43%;0,92%;2,33%;0,07%;2,43%;100,00%;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;VISITATORI PER PROVENIENZA GEOGRAFICA – GIUGNO 2024;;;;;;;;;;;;;;;
Musei;Bologna;Resto d’Italia;Resto d’Europa;Nord America;Centro America;Sud America;Asia;Africa;Oceania;Totale;%;;Continente non specificato;Totale interviste;;
